Representação,Classificador,Acurácia,Precisão (macro),Revocação (macro),F1 (macro),Treino (s)
BoW,Regressão Logística,0.9365,0.9208827496554816,0.9275701309796818,0.9241264358930947,0.16476258396869525
TF-IDF,Regressão Logística,0.9323333333333333,0.9108374384236453,0.9330551861915681,0.9207247605341042,0.03027345798909664
TF-IDF,SVM,0.9331666666666667,0.9148236731596381,0.9273597540999403,0.920724539488158,0.05831087497062981
TF-IDF,Naive Bayes,0.9298333333333333,0.9156528190209111,0.9152397975242977,0.915445929831168,0.004725834005512297
BoW,Naive Bayes,0.9276666666666666,0.9061427696078431,0.9257803215714993,0.9150023579991007,0.005185291985981166
BoW,SVM,0.9235,0.9070924586894484,0.9091003256826811,0.9080871033890928,1.0417142499936745
BoW,Random Forest,0.91,0.8849755447967615,0.9073137281352579,0.8947794909379811,0.4812133340165019
TF-IDF,Random Forest,0.907,0.8809248891530652,0.906181547217565,0.8917503133679698,0.48572645796230063
BoW,Gradient Boosting,0.8761666666666666,0.8912469280906079,0.8062709975397147,0.8344835513666635,0.23999654198996723
TF-IDF,Gradient Boosting,0.8755,0.8891810944770847,0.8061296756663006,0.8338892040991341,0.31212016695644706
